dish_id,total_calories,total_mass,ingredients,split,ingr_ids,ingredients_text
dish_1561662054,419.438782,292.0,ingr_0000000312;ingr_0000000026;ingr_0000000029;ingr_0000000122;ingr_0000000508;ingr_0000000513;ingr_0000000520;ingr_0000000525;ingr_0000000161;ingr_0000000094;ingr_0000000189;ingr_0000000043;ingr_0000000462;ingr_0000000054;ingr_0000000328;ingr_0000000291;ingr_0000000524,train,"[312, 26, 29, 122, 508, 513, 520, 525, 161, 94, 189, 43, 462, 54, 328, 291, 524]",pepper white rice mixed greens garlic soy sauce millet lemon juice bok choy olive oil onions vinegar green beans pork apple sugar salt parsley
dish_1560455030,20.59,103.0,ingr_0000000471;ingr_0000000031;ingr_0000000347,train,"[471, 31, 347]",cherry tomatoes cucumbers baby carrots
dish_1558372433,74.360001,143.0,ingr_0000000453,train,[453],deprecated
dish_1565640549,45.482903,139.0,ingr_0000000032;ingr_0000000523;ingr_0000000161;ingr_0000000526;ingr_0000000520;ingr_0000000094;ingr_0000000031;ingr_0000000291;ingr_0000000515;ingr_0000000448;ingr_0000000014;ingr_0000000367;ingr_0000000349;ingr_0000000471,train,"[32, 523, 161, 526, 520, 94, 31, 291, 515, 448, 14, 367, 349, 471]",tomatoes cilantro olive oil mustard greens lemon juice onions cucumbers salt arugula jalapenos asparagus lime mangos cherry tomatoes
dish_1563207364,309.269989,271.0,ingr_0000000008;ingr_0000000192;ingr_0000000440;ingr_0000000128;ingr_0000000161;ingr_0000000437,train,"[8, 192, 440, 128, 161, 437]",scrambled eggs yam grapes egg whites olive oil sweet potato
dish_1561575474,120.058434,183.0,ingr_0000000291;ingr_0000000335;ingr_0000000433;ingr_0000000007;ingr_0000000161,train,"[291, 335, 433, 7, 161]",salt eggplant roasted potatoes cauliflower olive oil
dish_1563216717,246.007996,332.0,ingr_0000000122;ingr_0000000021;ingr_0000000471;ingr_0000000244;ingr_0000000036;ingr_0000000148;ingr_0000000514;ingr_0000000161;ingr_0000000518;ingr_0000000112;ingr_0000000291;ingr_0000000027,train,"[122, 21, 471, 244, 36, 148, 514, 161, 518, 112, 291, 27]",garlic squash cherry tomatoes chicken breast spinach (raw) parmesan cheese wheat berry olive oil thyme honeydew melons salt broccoli
dish_1565972591,195.199997,122.0,ingr_0000000510,train,[510],chicken apple sausage
dish_1568649312,44.459999,78.0,ingr_0000000013,train,[13],berries
dish_1562183096,41.18898,95.0,ingr_0000000312;ingr_0000000517;ingr_0000000201;ingr_0000000046;ingr_0000000189;ingr_0000000515;ingr_0000000126;ingr_0000000161;ingr_0000000124;ingr_0000000291,train,"[312, 517, 201, 46, 189, 515, 126, 161, 124, 291]",pepper chard blueberries mushroom vinegar arugula mustard olive oil walnuts salt
dish_1563476551,1116.391113,750.0,ingr_0000000133;ingr_0000000332;ingr_0000000046;ingr_0000000540;ingr_0000000021;ingr_0000000257;ingr_0000000520;ingr_0000000434;ingr_0000000367;ingr_0000000122;ingr_0000000011;ingr_0000000092;ingr_0000000341;ingr_0000000023;ingr_0000000448;ingr_0000000036;ingr_0000000025;ingr_0000000074;ingr_0000000518;ingr_0000000161;ingr_0000000027;ingr_0000000094;ingr_0000000485;ingr_0000000291;ingr_0000000523;ingr_0000000203,train,"[133, 332, 46, 540, 21, 257, 520, 434, 367, 122, 11, 92, 341, 23, 448, 36, 25, 74, 518, 161, 27, 94, 485, 291, 523, 203]",shallots salmon mushroom ginger squash brownies lemon juice sour cream lime garlic cheese pizza wine cream brown rice jalapenos spinach (raw) beef pasta thyme olive oil broccoli onions zucchini salt cilantro chili
dish_1559844951,274.335999,122.0,ingr_0000000077;ingr_0000000005,train,"[77, 5]",almonds potatoes
dish_1562963704,663.755798,479.0,ingr_0000000073;ingr_0000000525;ingr_0000000189;ingr_0000000291;ingr_0000000433;ingr_0000000029;ingr_0000000508;ingr_0000000006;ingr_0000000122;ingr_0000000328;ingr_0000000312;ingr_0000000026;ingr_0000000462;ingr_0000000180;ingr_0000000152;ingr_0000000380;ingr_0000000161;ingr_0000000045;ingr_0000000535,train,"[73, 525, 189, 291, 433, 29, 508, 6, 122, 328, 312, 26, 462, 180, 152, 380, 161, 45, 535]",radishes bok choy vinegar salt roasted potatoes mixed greens soy sauce caesar salad garlic sugar pepper white rice pork rice noodles cabbage pizza olive oil carrot green onions
dish_1566417398,56.892494,46.0,ingr_0000000126;ingr_0000000189;ingr_0000000029;ingr_0000000528;ingr_0000000161;ingr_0000000291;ingr_0000000471,train,"[126, 189, 29, 528, 161, 291, 471]",mustard vinegar mixed greens celery root olive oil salt cherry tomatoes
dish_1562611680,326.888977,256.0,ingr_0000000523;ingr_0000000122;ingr_0000000161;ingr_0000000392;ingr_0000000520;ingr_0000000094;ingr_0000000189;ingr_0000000201;ingr_0000000291;ingr_0000000006;ingr_0000000010;ingr_0000000072;ingr_0000000448;ingr_0000000036;ingr_0000000126;ingr_0000000026;ingr_0000000073;ingr_0000000038,train,"[523, 122, 161, 392, 520, 94, 189, 201, 291, 6, 10, 72, 448, 36, 126, 26, 73, 38]",cilantro garlic olive oil pepperoni pizza lemon juice onions vinegar blueberries salt caesar salad steak kale jalapenos spinach (raw) mustard white rice radishes pineapple
dish_1564432238,455.387939,315.0,ingr_0000000471;ingr_0000000007;ingr_0000000367;ingr_0000000116;ingr_0000000448;ingr_0000000392;ingr_0000000524;ingr_0000000189;ingr_0000000520;ingr_0000000152;ingr_0000000029;ingr_0000000030;ingr_0000000291;ingr_0000000312;ingr_0000000038;ingr_0000000462;ingr_0000000514;ingr_0000000094;ingr_0000000031;ingr_0000000161;ingr_0000000122;ingr_0000000045,train,"[471, 7, 367, 116, 448, 392, 524, 189, 520, 152, 29, 30, 291, 312, 38, 462, 514, 94, 31, 161, 122, 45]",cherry tomatoes cauliflower lime mayonnaise jalapenos pepperoni pizza parsley vinegar lemon juice cabbage mixed greens lettuce salt pepper pineapple pork wheat berry onions cucumbers olive oil garlic carrot
dish_1563468327,351.886047,483.0,ingr_0000000192;ingr_0000000437;ingr_0000000001;ingr_0000000038;ingr_0000000121;ingr_0000000161;ingr_0000000013,train,"[192, 437, 1, 38, 121, 161, 13]",yam sweet potato cottage cheese pineapple watermelon olive oil berries
dish_1562862493,198.320007,134.0,ingr_0000000008,train,[8],scrambled eggs
dish_1558549008,20.700001,115.0,ingr_0000000471,train,[471],cherry tomatoes
dish_1560453174,329.716248,256.0,ingr_0000000521;ingr_0000000516;ingr_0000000045;ingr_0000000161;ingr_0000000077;ingr_0000000520;ingr_0000000524;ingr_0000000043;ingr_0000000201;ingr_0000000028;ingr_0000000312;ingr_0000000291;ingr_0000000122;ingr_0000000189;ingr_0000000485;ingr_0000000126;ingr_0000000036;ingr_0000000518;ingr_0000000514;ingr_0000000021,train,"[521, 516, 45, 161, 77, 520, 524, 43, 201, 28, 312, 291, 122, 189, 485, 126, 36, 518, 514, 21]",basil rosemary carrot olive oil almonds lemon juice parsley green beans blueberries chicken pepper salt garlic vinegar zucchini mustard spinach (raw) thyme wheat berry squash
dish_1563824250,17.200001,43.0,ingr_0000000094,train,[94],onions
dish_1560543755,257.924927,264.0,ingr_0000000535;ingr_0000000028;ingr_0000000007;ingr_0000000043;ingr_0000000036;ingr_0000000540;ingr_0000000161;ingr_0000000433;ingr_0000000029;ingr_0000000045;ingr_0000000027;ingr_0000000291;ingr_0000000026;ingr_0000000189;ingr_0000000180;ingr_0000000152;ingr_0000000073;ingr_0000000508;ingr_0000000122,train,"[535, 28, 7, 43, 36, 540, 161, 433, 29, 45, 27, 291, 26, 189, 180, 152, 73, 508, 122]",green onions chicken cauliflower green beans spinach (raw) ginger olive oil roasted potatoes mixed greens carrot broccoli salt white rice vinegar rice noodles cabbage radishes soy sauce garlic
dish_1563822597,59.400002,176.0,ingr_0000000027;ingr_0000000006;ingr_0000000021;ingr_0000000485,train,"[27, 6, 21, 485]",broccoli caesar salad squash zucchini
dish_1558459276,102.699997,79.0,ingr_0000000026,train,[26],white rice
dish_1560974707,55.025124,60.0,ingr_0000000094;ingr_0000000036;ingr_0000000471;ingr_0000000251;ingr_0000000047;ingr_0000000052;ingr_0000000291;ingr_0000000203;ingr_0000000032;ingr_0000000122;ingr_0000000367;ingr_0000000434;ingr_0000000320,train,"[94, 36, 471, 251, 47, 52, 291, 203, 32, 122, 367, 434, 320]",onions spinach (raw) cherry tomatoes tortilla chips corn cheese salt chili tomatoes garlic lime sour cream black beans
dish_1564686855,1030.160645,435.0,ingr_0000000031;ingr_0000000094;ingr_0000000257;ingr_0000000244;ingr_0000000471;ingr_0000000012;ingr_0000000291;ingr_0000000030;ingr_0000000011;ingr_0000000029;ingr_0000000367;ingr_0000000312;ingr_0000000161;ingr_0000000189,train,"[31, 94, 257, 244, 471, 12, 291, 30, 11, 29, 367, 312, 161, 189]",cucumbers onions brownies chicken breast cherry tomatoes olives salt lettuce cheese pizza mixed greens lime pepper olive oil vinegar
dish_1565119669,55.965,229.0,ingr_0000000072;ingr_0000000485;ingr_0000000517;ingr_0000000529,train,"[72, 485, 517, 529]",kale zucchini chard chayote squash
dish_1566417516,385.402527,425.0,ingr_0000000514;ingr_0000000335;ingr_0000000471;ingr_0000000029;ingr_0000000528;ingr_0000000291;ingr_0000000126;ingr_0000000122;ingr_0000000161;ingr_0000000189;ingr_0000000517;ingr_0000000049;ingr_0000000527;ingr_0000000133;ingr_0000000433;ingr_0000000524;ingr_0000000520,train,"[514, 335, 471, 29, 528, 291, 126, 122, 161, 189, 517, 49, 527, 133, 433, 524, 520]",wheat berry eggplant cherry tomatoes mixed greens celery root salt mustard garlic olive oil vinegar chard fish chive shallots roasted potatoes parsley lemon juice
dish_1558724031,358.710999,303.0,ingr_0000000471;ingr_0000000037;ingr_0000000077;ingr_0000000007,train,"[471, 37, 77, 7]",cherry tomatoes cantaloupe almonds cauliflower
dish_1558637393,739.968018,128.0,ingr_0000000077,train,[77],almonds
dish_1563393217,49.230003,228.0,ingr_0000000485;ingr_0000000027;ingr_0000000021;ingr_0000000094;ingr_0000000031,train,"[485, 27, 21, 94, 31]",zucchini broccoli squash onions cucumbers
dish_1562789268,569.511536,350.0,ingr_0000000462;ingr_0000000205;ingr_0000000023;ingr_0000000520;ingr_0000000524;ingr_0000000521;ingr_0000000133;ingr_0000000471;ingr_0000000011;ingr_0000000312;ingr_0000000291;ingr_0000000189;ingr_0000000161;ingr_0000000094;ingr_0000000122;ingr_0000000027,train,"[462, 205, 23, 520, 524, 521, 133, 471, 11, 312, 291, 189, 161, 94, 122, 27]",pork corn on the cob brown rice lemon juice parsley basil shallots cherry tomatoes cheese pizza pepper salt vinegar olive oil onions garlic broccoli
dish_1559700851,61.089886,54.0,ingr_0000000036;ingr_0000000189;ingr_0000000032;ingr_0000000291;ingr_0000000126;ingr_0000000122;ingr_0000000161;ingr_0000000526;ingr_0000000031,train,"[36, 189, 32, 291, 126, 122, 161, 526, 31]",spinach (raw) vinegar tomatoes salt mustard garlic olive oil mustard greens cucumbers
dish_1561492204,488.636322,334.0,ingr_0000000161;ingr_0000000201;ingr_0000000094;ingr_0000000032;ingr_0000000291;ingr_0000000194;ingr_0000000028;ingr_0000000312;ingr_0000000126;ingr_0000000122;ingr_0000000033;ingr_0000000513;ingr_0000000448;ingr_0000000036;ingr_0000000189;ingr_0000000073,train,"[161, 201, 94, 32, 291, 194, 28, 312, 126, 122, 33, 513, 448, 36, 189, 73]",olive oil blueberries onions tomatoes salt fried rice chicken pepper mustard garlic bell peppers millet jalapenos spinach (raw) vinegar radishes
dish_1567613057,406.68631,749.0,ingr_0000000161;ingr_0000000128;ingr_0000000121;ingr_0000000437;ingr_0000000475,train,"[161, 128, 121, 437, 475]",olive oil egg whites watermelon sweet potato salsa
dish_1564761488,327.986023,336.0,ingr_0000000080;ingr_0000000128;ingr_0000000194;ingr_0000000112,train,"[80, 128, 194, 112]",turkey bacon egg whites fried rice honeydew melons
dish_1559678330,169.694122,150.0,ingr_0000000161;ingr_0000000036;ingr_0000000189;ingr_0000000032;ingr_0000000122;ingr_0000000031;ingr_0000000291;ingr_0000000126;ingr_0000000526,train,"[161, 36, 189, 32, 122, 31, 291, 126, 526]",olive oil spinach (raw) vinegar tomatoes garlic cucumbers salt mustard mustard greens
dish_1565033110,47.599998,147.0,ingr_0000000027;ingr_0000000029,train,"[27, 29]",broccoli mixed greens
dish_1564428444,157.001038,277.0,ingr_0000000161;ingr_0000000094;ingr_0000000291;ingr_0000000122;ingr_0000000213;ingr_0000000029;ingr_0000000126;ingr_0000000471;ingr_0000000007;ingr_0000000189,train,"[161, 94, 291, 122, 213, 29, 126, 471, 7, 189]",olive oil onions salt garlic pears mixed greens mustard cherry tomatoes cauliflower vinegar
dish_1558459115,271.540009,298.0,ingr_0000000077;ingr_0000000054;ingr_0000000026;ingr_0000000471;ingr_0000000440,train,"[77, 54, 26, 471, 440]",almonds apple white rice cherry tomatoes grapes
dish_1558723777,74.360001,143.0,ingr_0000000054,train,[54],apple
dish_1558721757,768.873047,133.0,ingr_0000000077,train,[77],almonds
dish_1564777960,331.007507,147.0,ingr_0000000511;ingr_0000000011;ingr_0000000133;ingr_0000000094;ingr_0000000291;ingr_0000000161;ingr_0000000189;ingr_0000000525;ingr_0000000025;ingr_0000000513,train,"[511, 11, 133, 94, 291, 161, 189, 525, 25, 513]",spinach (cooked) cheese pizza shallots onions salt olive oil vinegar bok choy beef millet
